Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,PnL %
2025-04-09 10:00:00,76365.29,2025-04-09 10:41:00,75792.01,SL,-0.007507075531304849
2025-04-10 01:20:00,79176.79,2025-04-10 01:22:00,80039.27,TP,0.01089309127081321
2025-04-21 08:33:00,86728.72,2025-04-21 11:33:00,87304.35,TIME,0.006637132428565816
2025-04-23 05:49:00,93417.73,2025-04-23 05:51:00,92684.64,SL,-0.007847439666966823
2025-05-08 23:42:00,101447.59,2025-05-09 00:02:00,100707.97,SL,-0.0072906611187115965
2025-05-09 05:21:00,103584.0,2025-05-09 05:50:00,102840.61,SL,-0.007176687519307995
2025-05-21 23:05:00,109295.8,2025-05-21 23:35:00,108427.96,SL,-0.007940286817974675
2025-06-22 08:34:00,103108.8,2025-06-22 09:34:00,102264.04,SL,-0.008192899151187961
2025-06-24 01:26:00,101786.98,2025-06-24 02:06:00,102809.84,TP,0.01004902591667422
2025-06-24 06:26:00,105999.99,2025-06-24 06:41:00,105208.88,SL,-0.007463302590877608
2025-07-10 03:52:00,111776.99,2025-07-10 04:25:00,110978.54,SL,-0.007143241198389862
2025-07-11 05:19:00,116195.25,2025-07-11 08:19:00,115489.57,TIME,-0.006073225884879055
2025-08-11 10:23:00,121561.25,2025-08-11 13:23:00,121958.39,TIME,0.0032669950333679477
2025-08-22 22:03:00,114297.18,2025-08-22 22:15:00,115522.3,TP,0.010718724643950184
2025-09-02 21:45:00,110830.01,2025-09-03 00:45:00,110571.99,TIME,-0.0023280698070855498
2025-10-04 00:11:00,123172.88,2025-10-04 01:00:00,121870.41,SL,-0.010574324477920798
2025-10-11 05:21:00,106766.11,2025-10-11 05:24:00,108219.08,TP,0.013608906421710046
2025-10-12 23:19:00,113666.01,2025-10-12 23:32:00,112692.83,SL,-0.008561750342076695
2025-10-17 19:14:00,105816.0,2025-10-17 21:13:00,104961.21,SL,-0.008078078929462402
2025-10-21 22:21:00,110529.01,2025-10-21 22:29:00,109679.8,SL,-0.007683141285713062
2025-10-27 06:03:00,115453.51,2025-10-27 06:05:00,114630.21,SL,-0.007131008836370487
2025-11-05 06:08:00,100941.17,2025-11-05 09:04:00,100226.9,SL,-0.007076101852197711
2025-11-10 08:53:00,106501.22,2025-11-10 09:58:00,105752.52,SL,-0.0070299664172860845
2025-11-14 22:45:00,96597.59,2025-11-14 23:13:00,95919.85,SL,-0.007016117068759073
2025-11-17 22:36:00,95742.04,2025-11-17 22:53:00,94800.0,SL,-0.009839355835743564
2025-11-18 23:27:00,92949.99,2025-11-19 02:27:00,93349.13,TIME,0.004294137094581714
2025-11-21 20:37:00,82517.04,2025-11-21 20:50:00,83506.18,TP,0.01198709987658306
2025-11-22 01:37:00,85257.46,2025-11-22 02:02:00,84609.77,SL,-0.007596871874906926
2025-11-27 01:42:00,89415.45,2025-11-27 02:16:00,90318.73,TP,0.010102057306651131
2025-12-02 23:00:00,89400.39,2025-12-02 23:12:00,90606.27,TP,0.013488531761438678
2025-12-08 01:35:00,91271.28,2025-12-08 04:35:00,91349.47,TIME,0.0008566769305744625
2025-12-09 23:44:00,92050.91,2025-12-10 00:01:00,93044.94,TP,0.010798698242092324
2025-12-11 04:14:00,94252.99,2025-12-11 04:22:00,93186.03,SL,-0.011320171381300544
2025-12-12 05:16:00,92940.2,2025-12-12 06:30:00,92276.95,SL,-0.007136309153627817
2025-12-17 22:54:00,89282.71,2025-12-17 23:06:00,90297.32,TP,0.011364014376355742
2025-12-18 21:47:00,89017.44,2025-12-18 22:12:00,88253.84,SL,-0.008578094359936724
2025-12-19 11:29:00,87146.04,2025-12-19 14:29:00,87017.18,TIME,-0.001478667303758158
2025-12-19 23:17:00,89381.77,2025-12-19 23:19:00,88638.69,SL,-0.008313552081145873
2025-12-26 10:25:00,89121.35,2025-12-26 13:25:00,88916.03,TIME,-0.002303825065486631
2026-01-09 23:29:00,91680.59,2026-01-09 23:55:00,90856.01,SL,-0.008994052067073323
